"Record ID","Deal Name","Close Date","Deal owner","HubSpot Team","Deal Stage","Amount","Segment ","Geography","POC Indication","Deal Stage Before Closed","In Call","Create Date","Qualified Date","Closed Lost Reason","Closed Lost Details","Managers In Call","Previous Amount","Evaluated competitors","Incumbent Competition","Cumulative time in ""SDR Discovery (Classic)"" (HH:mm:ss)","Cumulative time in ""SDR / Omitted  Opp (Classic)"" (HH:mm:ss)","Cumulative time in ""Demo / Presentation  (Classic)"" (HH:mm:ss)","Cumulative time in ""Business Validation (Classic)"" (HH:mm:ss)","Cumulative time in ""Formal Pilot (Classic)"" (HH:mm:ss)","Cumulative time in ""Business Case Confirmation (Classic)"" (HH:mm:ss)","Cumulative time in ""Negotiation / Legal (Classic)"" (HH:mm:ss)"
"57129764475","Collectors Holdings Inc","2026-06-30 18:13","Daniel Alper","US MM","Closed Lost","150000.0","Mid-Market","America","With POC","Business case confirmation","No","2026-02-26 23:04","2026-03-02","Unable to connect; Freemium","Elected to continue self-guided eval after POC","No","30000.0","Opslevel","Cortex; None","","93:11:34","698:06:54","836:20:29","500:38:54","841:51:24",""
"57019218691","Capital One","2026-06-03 15:52","Tali Cohen","US Ent","Closed Lost","200000.0","Enterprise","America","No POC","Demo / Presentation","No","2026-02-25 22:28","2026-03-03","Unable to connect","We had an initial meeting but have not heard back since. ","","500000.0","","Backstage","00:45:42","141:14:03","2202:24:40","","","",""
"59728215661","Direct Supply","2026-04-29 21:51","John Romano","US MM","Closed Lost","153000.0","Mid-Market","America","With POC","Formal Pilot","No","2026-02-23 22:35","2026-03-04","Competition","After completing their evaluation, Direct Supply has decided not to move forward with Port at this time. Here's a quick summary:

Why they're passing (for now):
• High internal maintenance burden — requires a minimum of 3 people knowledgeable in Port for ongoing management
• Risk of single-person dependency (a pain point they've experienced before with abandoned tools)
• Significant data modeling work upfront with high likelihood of redesigns as their understanding matures
• ROI/business value doesn't justify the investment given their current org capacity

They liked Port's flexibility and customization power were genuinely impressive — it just requires more internal ownership than they can commit to right now.

Where things stand:
• Cortex evaluation is still ongoing — not a guaranteed pick either (has an extensibility ceiling)
• Professional services option (Callibrity partner) declined due to additional licensing costs
• Other developer platform initiatives are also competing for resources","Yes","72000.0","Cortex","None","","209:51:31","54:25:30","311:06:00","34:47:13","",""
"56697417911","OutSystems","2026-06-04 10:56","Sharon Peretz","EMEA MM","Closed Lost","150000.0","Mid-Market","America","No POC","Pilot Prep","No","2026-02-20 13:43","2026-03-27","Competition","Built an AI in house solution. Seems they were looking into Port to get inspiration for what they've been building.. tried brining the decision maker to a call with zohar  & getting pushed back. Now unresponsive. Marked as competitor closed lost since we don't have a ""reason"" for build.  a","No","72000.0","","None","","839:37:48","644:29:43","1008:05:38","","",""
"56463771756","San Disk","2026-06-11 17:02","Evan Smith","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2026-02-18 00:08","2026-03-25","Unable to connect","Non responsive","","50000.0","","","","857:05:44","1870:48:40","","","",""
"56434613776","Paramount Commerce","2026-03-16 16:24","Jill Countey","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-02-16 20:45","2026-02-19","Unable to connect","No response after intro meeting","","","","","","68:50:10","598:49:02","","","",""
"56400973062","Ryan","2026-07-02 16:12","Evan Smith","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Pilot Prep","No","2026-02-16 19:09","2026-03-12","Unable to connect","No response from customer","No","","","Backstage","","573:18:38","1008:59:19","1677:44:56","","",""
"56288447039","Applied Systems ","2026-06-10 21:09","EJ Rauseo","US MM","Closed Lost","393000.0","Mid-Market","America","With POC","Formal Pilot","No","2026-02-14 00:20","2026-03-03","Product; Competition","Their team had challenges with the POC. They hit some bugs early on and also made some errors while setting up their org. They then trialed Cortex and found it easier to setup. They have decided to move forward with Cortex","No","250000.0","None","None","","429:03:54","384:25:59","00:13:35","1990:06:06","",""
"56200270644","Principal Financial - New Deal","2026-03-25 20:56","Tom Skarzynski (Deactivated User)","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2026-02-13 17:08","2026-03-03","Early stage","Connor intro'd us to backstage team (Director level down) for IDP and AEP demo. Team has invested 4+ years into Backstage (""PDP"") and is hoping to find a complimentary solution rather than rip & replace it. Justin (Dir of DevEx) was keenest on AEP -> nurture.","","100000.0","","","435:24:14","00:00:55","528:23:12","","","",""
"56135881308","Coforma","2026-02-19 00:39","EJ Rauseo","US MM","Closed Lost","29900.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-02-12 21:54","2026-02-17","Early stage","They are starting with their Innovation team that only has 10 users and will re-engage if they are able to get momentum from their other teans","","","","","","119:34:15","27:11:25","","","",""
"54352277645","Navitus","2026-04-03 20:52","Jill Countey","US MM","Closed Lost","60000.0","Mid-Market","America","No POC","Pilot Prep","No","2026-01-22 19:14","2026-01-22","Product; Unable to connect","no contact after leadership meeting, they expressed during meeting Port may be too complex for their needs","","","","Harness; Opslevel","","00:04:41","960:12:46","744:21:11","","",""
"54248329583","1Password","2026-05-07 16:33","Daniel Alper","US MM","Closed Lost","100000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-01-21 22:07","2026-01-22","Unable to connect; Bad timing","Unresponsive following exec intro","","50000.0","Harness","None","","17:31:02","2519:55:07","","","",""
"54314206131","GoFundMe ","2026-05-19 16:01","John Romano","US MM","Closed Lost","200000.0","Mid-Market","America","With POC","Business case confirmation","Yes","2026-01-21 17:06","2026-01-23","Competition","Why They Chose Cortex 

Opinionated out-of-the-box experience — The core ask was a product that felt ready from day one. Cortex ships with pre-built scorecard templates and a homepage that populates immediately. Port's blank-canvas approach, while more powerful, created an initial impression of ""there's a lot of work to do here""

Initiatives product — Mark Vaughn was the most vocal internal voice and his entire use case was initiatives. He felt Cortex's initiatives feature was more purpose-built vs. Port's more composable approach

First-impression effect — Ben was candid: ""I actually asked Claude to recreate the Cortex homepage in Port because it just looked so immediately appealing."" The DevEx team leaned Cortex largely based on this. He called it ""a little bit misleading in some ways"" but acknowledged it was real

Company context shift — GoFundMe has had a rough few months with production outages. The entire org pivoted toward foundations and quality over AI/agentic work. That made the time-to-value on scorecards and initiatives more important than the agentic differentiators Port leads with","No","","Cortex","Backstage","32:04:39","00:02:35","428:30:13","933:30:28","1131:55:50","303:51:05",""
"53014767140","Bullish","2026-04-09 16:54","EJ Rauseo","US MM","Closed Lost","98000.0","Mid-Market","America","With POC","Formal Pilot","No","2026-01-06 18:33","2026-01-12","Competition","They decided to move forward with building out Backstage for the next 6 months. This decision came form their CTO being a Backstage fan and wanting his team to go in that direction.","","","Backstage; Cortex","None","","141:26:10","701:13:13","669:21:28","717:20:25","",""
"53283305220","Cresta","2026-05-07 16:36","EJ Rauseo","US MM","Closed Lost","72000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-01-06 18:17","2026-03-30","No value","Our primary contact is trying to sell this up the chain and seems to be getting push back on the ROI case. We will need to go higher with PG to help them see the value an IDP will bring ","No","50000.0","","","","717:43:30","911:30:42","","","",""
"53284612654","Expression","2026-04-09 15:44","Daniel Alper","US MM","Closed Lost","18000.0","Mid-Market","America","No POC","Pilot Prep","No","2026-01-06 18:05","2026-01-21","Security","FedRAMP requirements","","","","None","","364:38:25","1696:38:53","167:21:52","","",""
"53105348631","Data Axle","2026-03-10 20:11","John Romano","US MM","Closed Lost","72000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-01-02 15:34","2026-01-16","Bad timing","Had to pull the plug due to limited resources and competing priorities that took precedent over Port

Also, they just found out the company bought Codex so need to focus what additional bandwidth they have implementing.

No idea when timing will be better to pick things back up","","100000.0","None","None","","341:54:06","99:53:33","812:31:51","358:16:48","",""
"52248171013","FIS","2026-03-27 19:45","Travis Dadoly (Deactivated User)","US Ent","Closed Lost","500000.0","Enterprise","America","No POC","Pilot Prep","No","2025-12-20 00:59","2026-01-07","Competition","Team notified me they decided to move forward with another Vendor, I suspect Cortex. Gave no feedback and have been unresponsive. I suspect reason is they wanted something simple and fast to setup, liked our data modeling approach but thought it was too complex.","","","Harness; Backstage","In house IDP; Harness","","454:02:39","666:08:28","1225:33:57","","",""
"52072473655","8am","2026-02-25 19:37","Daniel Alper","US MM","Closed Lost","60000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-12-18 18:24","2026-01-20","Bad timing; Early stage","""A number of other priorities have risen over this one.  We'll pick this back up likely this summer or fall.""","","","","","","792:39:50","864:33:09","","","",""
"52002398106","Miro","2026-04-22 17:09","EJ Rauseo","US MM","Closed Lost","200000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-12-17 18:40","2026-02-11","Unable to connect","We were working at the right levels but following a couple demos and outreach from Zohar, they have gone dark. My thought is that they have a use case for Port as they adopt agentic engineering processes but with their use of Backstage, we need to help them see that this would be transformational beyond just using us as their agentic engineering ad hoc tool. The next step here is to re-PG into the account at the mid to lower levels to get momentum from people who are dissatisfied with Backstage so we can have a better value prop for their leadership group","","","","","","1346:42:37","1674:46:44","","","",""
"52031562547","Radiology Partners","2026-03-04 21:39","EJ Rauseo","US MM","Closed Lost","18000.0","Mid-Market","America","No POC","Business case confirmation","Yes","2025-12-17 18:28","2026-02-09","Budget","No budget for 2026. Working on securing budget in 2027","","29000.0","Unknown","None","","21:36:14","00:00:07","71:05:22","00:00:20","484:54:29",""
"51700958858","Heartflow","2026-02-05 22:49","EJ Rauseo","US MM","Closed Lost","48000.0","Mid-Market","America","With POC","Formal Pilot","No","2025-12-11 23:04","2025-12-19","Product","They saw multi-step SSA as a must and were not willing to budge on us having this being released in the near future. They mentioned after the POC that this was a must have but didn't tell us this during scoping","","","Cortex; Harness","None","","189:41:04","453:05:26","149:40:15","551:17:59","",""
"51628817708","Navy Federal Credit Union","2026-06-11 16:59","Evan Smith","US Ent","Closed Lost","150000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-12-11 18:57","2025-12-17","Unable to connect","Unable to connect as this opportunity was transitioned to me.","","","Backstage","Backstage","","142:41:44","4222:20:23","","","",""
"51515223143","Connectbase","2026-02-05 15:47","Daniel Alper","US MM","Closed Lost","48000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-12-10 22:23","2025-12-11","Unable to connect; Early stage","Inherited opp - prospect unresponsive","","","","","","22:45:15","1338:38:53","","","",""
"51441389068","Texas A&M University","2026-03-18 20:51","Travis Dadoly (Deactivated User)","US Ent","Closed Lost","75000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-12-09 18:57","2025-12-16","Budget","our organization is temporarily under a spend/procurement freeze, except for critical services, and I was unable to get a line approved for this category in our upcoming fiscal year’s budget. ","","","Backstage","","","169:05:48","2208:47:50","","","",""
"51442306147","Garner Health","2026-05-01 20:44","Jill Countey","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-12-08 20:41","2025-12-09","Product","do not see value in IDP, are AI centric and don't think AEP matches what they're looking for","","","","","","23:36:20","3431:26:35","","","",""
"51340193943","Aurigo Software","2026-01-08 18:45","Daniel Alper","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-12-08 18:53","2025-12-08","Bad timing","No timeline. Taking the self-guided eval approach ""at our own pace.""","","","","Backstage","","","","743:52:01","","",""
"51435564562","Cigna - Evernorth","2026-04-16 19:28","Tom Skarzynski (Deactivated User)","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-12-08 17:17","2025-12-15","Other","Died with IDP-only Backstage compete. Revived with Naga + new team members with AEP -> new opp","","","","","","174:04:15","2923:06:35","","","",""
"51181060118","Flex","2026-03-06 02:53","Jeff Graham","US Ent","Closed Lost","150000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-12-04 18:49","2026-01-15","Other","Said they were not interested at this time","","","","","","1009:57:36","1182:07:09","","","",""
"50909631812","Kinective","2026-04-09 17:02","EJ Rauseo","US MM","Closed Lost","33600.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-12-02 18:56","2025-12-04","Unable to connect","They had indicated that they would be looking to POC IDPs in April but have since gone dark. Re-PGing in to get wider in the account","","","","None","","52:02:23","3017:03:46","","","",""
"50359153529","Q2","2026-04-07 15:51","Jill Countey","US MM","Closed Lost","200000.0","Mid-Market","America","With POC","Formal Pilot","Yes","2025-11-25 15:46","2025-12-10","Price","working with cloud eng team to find more high value use cases, will reopen once we determine those","","","None","None","","363:29:22","1992:09:11","549:09:48","286:17:13","",""
"50443104423","Nomi Health","2026-02-11 16:24","Jill Countey","US MM","Closed Lost","54000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-11-24 21:25","2025-11-25","Bad timing","new leadership, moving to Q3 project","","","","Backstage","","17:09:24","575:04:28","1295:54:28","","",""
"49779195798","McKinsey & Company","2026-04-13 12:48","Travis Dadoly (Deactivated User)","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-11-21 23:21","2025-12-10","Bad timing","deprioritized","","","None","In house IDP","456:10:36","00:01:37","2964:14:51","","","",""
"49448083227","Walmart","2026-04-23 15:41","Rick Walker","US Ent","Closed Lost","500000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-11-18 19:54","2025-12-05","Unable to connect","Never responded to me","","","","","","411:18:01","3327:29:28","","","",""
"49151858537","Johnson and Johnson KubeCon ATL 25","2026-07-02 16:11","Evan Smith","US Ent","Closed Lost","150000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-11-13 23:32","2025-12-19","Unable to connect","N/A","","","","","","833:33:00","4678:03:30","","","",""
"48889986381","Veeam","2025-12-10 16:04","Tali Cohen","US Ent","Closed Lost","200000.0","Enterprise","America","No POC","Pilot Prep","No","2025-11-11 20:15","2025-11-20","Competition; Price","They were planning to make decisions without a pilot. Port got tech win from the evaluating team but they came back saying decision would be based on price. We came in very close. The ex-CEO of Veeam is a Cortex investor and it's clear he used some relationships to make things happen.","","","","None","","211:58:40","28:35:01","451:15:45","","",""
"48820620900","Zebra Technologies","2026-03-05 18:33","Travis Dadoly (Deactivated User)","US Ent","Closed Lost","50000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-11-10 18:36","2025-12-01","Unable to connect","Team has gone unresponsive. ","","","","","","506:49:14","2253:08:05","","","",""
"48798856468","Sagent - 2026","2025-12-22 16:35","EJ Rauseo","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-11-10 17:47","2025-11-10","Unable to connect","They are running their own independent evaluation and would not connect with us. There is something here but without engagement from their side I am killing for now","","","","","00:01:27","00:00:10","1006:45:33","","","",""
"48473786975","Lytx ","2026-03-09 22:41","John Romano","US MM","Closed Lost","72000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-11-07 00:36","2026-02-18","Bad timing; No value","Just finished a 3-year cloud migration effort and want to let things settle before making more changes.  Ok with no unified platform for now because they haven't felt the negative effects of not having a unified platform yet.  Following up in ~6 months to see if things have changed","","","","Backstage","","2495:22:35","328:39:03","126:03:17","","",""
"48476663868","Regal Entertainment Group","2026-04-17 05:11","Tali Cohen","US Ent","Closed Lost","70000.0","Enterprise","America","No POC","Pilot Prep","No","2025-11-06 20:28","2025-12-04","Unable to connect","We had momentum at the end of '25 but as we began to plan for a pilot the contact/champion went dark. Priorities likely shifted at the start of the year. ","","","","None","","674:54:25","1504:59:35","1691:48:56","","",""
"48387969359","Constant Contact","2026-01-08 16:01","Daniel Alper","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-11-05 18:15","2025-11-06","Budget","Platform group was looking for budget from other departments, has become unresponsive","","","","Compass","","25:09:36","309:57:37","1198:39:18","","",""
"48177978956","GardaWorld","2026-04-17 17:31","Jeff Graham","US Ent","Closed Lost","250000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-11-04 12:23","2025-12-18","Early stage","Closing old IDP opp. Revived as AEP-centric opp with broader team.","","","","","429:18:18","633:14:19","2378:52:40","","","",""
"47739352913","Toyota Connected","2026-01-07 20:29","Jill Countey","US MM","Closed Lost","100000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-30 16:29","2025-11-03","Bad timing","will keep working on OB","","","","","","96:27:11","1563:33:35","","","",""
"47669516724","Optum Inc/UHG","2026-03-27 20:14","Rick Walker","US Ent","Closed Lost","150000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-10-30 00:15","2025-12-19","Other","Vinay wasn't the right contact to drive this forward - new opp opened
","","","","","","1216:53:33","2354:03:59","","","",""
"47665329840","Instride","2026-02-05 16:01","EJ Rauseo","US MM","Closed Lost","36000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-29 22:34","2025-11-05","No-show","After working with Jason, they told him '26 would be a better time but went dark after that","","","","","","168:21:42","2201:05:22","","","",""
"46997407753","Indiana Office of Technology","2026-01-07 20:28","Jill Countey","US MM","Closed Lost","24000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-24 20:25","2025-10-28","Bad timing; No value; Budget","keeping in touch, small team with no budget","","","","","97:28:58","00:00:28","1703:33:41","","","",""
"45680907342","Spare","2025-11-20 19:19","Jill Countey","US MM","Closed Lost","80000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-09 22:03","2025-10-14","Bad timing; Early stage","they lack the implementation resources needed to get a developer platform up and running, and are unsure of its value for Spare. Will revisit in future. ","","","","","","119:33:54","886:42:20","","","",""
"45317820221","AMN Healthcare","2025-11-20 00:55","EJ Rauseo","US MM","Closed Lost","70875.0","Mid-Market","America","No POC","Pilot Prep","No","2025-10-06 23:49","2025-10-10","No-show","They went dark after missing the POC kickoff. Next time we go to re-engage, we will need to find someone else who will be a champion for us","","","","None","","95:27:51","305:48:11","656:50:13","","",""
"45037806702","Regions Bank","2026-06-11 17:03","Evan Smith","US Ent","Closed Lost","200000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-10-01 14:37","2025-10-03","Unable to connect","No response from customer - transitioned opp to me.","","","","Harness","","52:52:22","6021:33:50","","","",""
"45064475914","Aurigo Software","2025-10-27 14:58","Daniel Alper","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-01 13:21","2025-10-06","Product; Competition; Security; On-prem","""Due to our FedRAMP compliance requirements, we’re going ahead with Backstage, hosted within our Cloud data centers""","","","Backstage","Backstage","00:00:02","125:05:35","501:31:47","","","",""
"43542892632","JumpCloud ","2025-11-03 23:25","John Romano","US MM","Closed Lost","100000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-10-01 09:08","2025-10-01","Budget","""Extremely unlikely we'll get a budget for Port in the foreseeable future.""","","","","","","481:31:35","818:23:16","","","",""
"44890323086","AMH","2026-01-21 16:35","John Romano","US MM","Closed Lost","36000.0","Mid-Market","America","With POC","Formal Pilot","No","2025-09-30 20:46","2025-09-30","Competition","They went with Cortex - awaiting additional insight but assuming it was due to their leadership being fixated on DORA and the DevOps team lacking the resources and competency to effectively build out Port","","","Cortex","None","","01:16:08","628:20:22","43:44:10","2035:28:16","",""
"44081380461","Batteries Plus","2025-10-16 16:03","EJ Rauseo","US MM","Closed Lost","18000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-09-22 21:19","2025-09-24","Budget","They are a small engineering org that does not have the budget for our startup tier. It may be worth following up in late 2026","","","","","","48:46:53","521:57:33","","","",""
"44074648406","IONNA","2025-10-01 18:22","John Romano","US MM","Closed Lost","24000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-09-22 18:36","2025-09-23","UNQ","Decided to not participate in their RFP in an effort to protect our internal resources due to the following reasons:

1. Low user count with low growth upside
2. Short window to complete - were only given a few business days to submit our RFP response
3. With how late we we invited to the RFP, we felt as though we were not considered a serious option and most likely column fodder","","","","","25:39:56","01:01:37","189:04:31","","","",""
"43823947376","Lululemon","2026-04-01 01:11","Rick Walker","US Ent","Closed Lost","150000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-09-17 08:28","2025-09-19","No-show","Went dark","","","","","","56:36:47","4640:05:36","","","",""
"43502382130","K12/Stride","2025-10-16 16:39","Jill Countey","US MM","Closed Lost","100000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-09-09 22:27","2025-09-15","Bad timing; Early stage","other priorities came up for EOY","","","","","","141:35:46","740:36:11","","","",""
"43331924151","Care Lumen","2026-01-22 16:57","John Romano","US MM","Closed Lost","72000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-09-04 00:08","2025-09-09","Competition","John,

I wanted to share a quick update on our platform tooling direction. We’ve finalized our selection of Harness for CI/CD, artifact management, and source control tooling.

Given that decision, we believe it makes sense to move forward with evaluating their Internal Developer Portal (IDP), as it will integrate more seamlessly with the tools we’ve already selected. As a result, we do not anticipate moving forward with a Port POC at this time.

We sincerely appreciate all the time and effort you and your team have invested with us throughout this process. Your support and insights have been extremely valuable, and we’re grateful for the partnership.

We’d absolutely like to stay in touch, and we’re open to reconnecting in the future as our platform strategy continues to evolve.

Justin Eichenberger ","","","Cortex","None","","138:49:51","1656:00:45","1582:58:56","","",""
"43331922041","Curriculum Associates","2025-12-16 23:05","John Romano","US MM","Closed Lost","100000.0","Mid-Market","America","With POC","Formal Pilot","No","2025-09-03 23:13","2025-09-17","Budget","Recent RIF and no budget for new software in H1 of 2026.  They will use free tier to find AWS cost cavings opportunities if effort to build out case for Port purchase in H2 of 2026","","","Datadog","None","04:08:39","332:25:45","17:00:05","1513:43:23","629:34:25","",""
"43191622228","MGM Resorts International","2026-05-14 18:23","Rick Walker","US Ent","Closed Lost","140000.0","Enterprise","America","With POC","Formal Pilot","No","2025-08-31 22:06","2025-09-03","Product; Competition","Integration/ingestion challenges led them to build out backstage","","","Backstage","Backstage","","69:23:39","168:57:09","862:22:46","5039:33:24","",""
"42898436011","Canadian National Railway Company","2026-03-12 23:22","Travis Dadoly (Deactivated User)","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-08-26 20:03","2025-09-26","Unable to connect","Rhoubins and team have been unresponsive since first meeting, initially challenged the idea of an IDP when we had demo. Closing until they re-engage.","","","","","","740:10:59","4016:08:09","","","",""
"42839588104","SGNL.ai","2025-09-04 23:17","John Romano","US MM","Closed Lost","18000.0","Mid-Market","America","No POC","Pilot Prep","No","2025-08-26 18:25","2025-08-28","Budget","Wasn't able to get 18k approved for Sales Engineering use case, potential in future to expand scope to whole engineering org","","","","None","","46:25:50","00:01:31","174:24:43","","",""
"42840583492","Consilio","2025-10-24 22:11","EJ Rauseo","US MM","Closed Lost","30000.0","Mid-Market","America","No POC","Demo / Presentation","No","2025-08-25 23:26","2025-08-29","Early stage","They dont have budget this year and are starting on the free tier","","","","","","93:50:03","1344:54:21","","","",""
"42647926814","OneRail","2025-09-18 15:42","EJ Rauseo","US MM","Closed Lost","33600.0","Mid-Market","America","No POC","Pilot Prep","No","2025-08-21 18:09","2025-08-25","Budget","They did not get board approval for the budget but think they will be able to revisit in 2026","","","","None","","100:31:54","00:00:17","569:00:07","","",""
"42069006440","Kaiser Permanente","2026-04-30 16:41","Jeff Graham","US Ent","Closed Lost","500000.0","Enterprise","America","With POC","Business case confirmation","No","2025-08-14 18:10","2025-08-21","Competition","Picked another competitor (Harness)","No","","Harness","Harness","","167:19:04","336:13:19","3673:47:22","863:25:06","1173:46:04",""
"41883739320","Fannie Mae","2026-06-11 17:00","Evan Smith","US Ent","Closed Lost","100000.0","Enterprise","America","No POC","Demo / Presentation","No","2025-08-12 21:37","2025-08-15","Unable to connect","Unable to connect on opportunity transitioned to me.","","","","","","73:01:09","7194:21:52","","","",""
