SK_DEAL,DEAL_CRM_ID,DEAL_NAME,COMPANY_NAME,PIPELINE,DEAL_TYPE,DEAL_TEAM_NAME,DEAL_STAGE,DEAL_CLOSED_DATE,DEAL_CREATED_DATE,SALES_CYCLE_DAYS,DEAL_TOTAL_ARR,DEAL_NET_NEW_ARR,SALES_OWNER,CLOSED_LOST_REASON,HS_LOST_CATEGORIES,CALLS_ANALYZED,LATEST_CALL_DATE,EARLIEST_ANALYZED_CALL_DATE,ANALYZED_SK_CONVERSATIONS,GONG_LOST_CATEGORY,CATEGORY_MATCH,AI_REASON_SUPPORTED,AI_REASON_EXPLANATION,AI_ALTERNATIVE_REASON
7e757237f4a00d07b4b6f48f4fdee7e4,62921039114,Aize,,Classic,newbusiness,EMEA MM,Closed Lost,2026-08-06,2026-07-21,7,50000.00,50000.00,Matthew Bilsland,Early stage,"[""Timing""]",3,2026-08-04,2026-07-29,"[""79f1dbfa04674952f8c9e29176f7b94e"",""0df3d5bbc5c9ecc793f9b51a29c1634a"",""e0fa95c9d212d7a505dd33947b90eb69""]","[""Value/Product"",""Commercial"",""Timing""]",true,likely_no,"The transcript shows active business case development, vendor assessment planning, and concrete next steps including pricing discussions and proof of value planning. Reginaldo specifically mentions that ""the vendor assessment process for GetPort.io has not yet been initiated due to key approvers being on vacation"" but indicates it will start once they return, suggesting organizational readiness rather than early-stage immaturity.","waiting for approver availability, active procurement process"
1e1267520846bcfac9bf523abfe64581,59186350238,UZ Leuven | Enterprise Digital | Platform Team,UZ Leuven,Classic,newbusiness,EMEA Ent,Closed Lost,2026-08-06,2026-03-26,91,50000.00,50000.00,Jamie Summers,Freemium,"[""Value/Product""]",1,2026-04-15,2026-04-15,"[""c9bc92a832fa36fdf9c000ebbf9890a4""]","[""Fit"",""Security"",""Value/Product""]",true,likely_no,"The transcript shows Mark and Johan from UZ Leuven actively exploring Port as a solution after finding Backstage ""too complex and resource-intensive,"" with clear pain points around visibility, compliance, and supply chain vulnerabilities. They scheduled follow-up demos and technical calls, indicating genuine interest rather than seeking a free solution. The stated reason ""Freemium"" suggests they chose a free alternative, but the evidence points toward active evaluation of Port's paid offering.",exploring paid solution after rejecting free Backstage alternative
619e14f4213a697022e63fb00e39c464,45452263278,Mercari Inc,"Mercari, Inc.",Classic,newbusiness,APJ,Closed Lost,2026-08-04,2025-10-08,294,125000.00,125000.00,Scott Dunion,Freemium;AI,"[""Value/Product""]",3,2026-04-21,2025-11-20,"[""1149666222df4c3120bc10a1837ce366"",""369920cbe796ba1c567a54c770c10921"",""c0f9f435e0692e4bbcfef553fe97e69f""]","[""Commercial"",""Competitive"",""Fit"",""Security"",""Value/Product""]",true,likely_no,"The transcript shows active engagement with Port's workflow capabilities and AI features, with Mercari exploring specific use cases like incident management and agentic workflows. However, the main blocker appears to be ""Security Review Blockers: Mercari's security team is blocking full integration with Jira and FireHydrant due to Port being on the free tier, requiring a paid tier to show value."" This suggests the loss was driven by security/compliance constraints rather than freemium limitations or AI concerns.",security review blocking integrations on free tier
baec75278a2e3cea17f7c57e111c4d75,62704664066,Ki Insurance,Ki,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-30,2026-02-24,126,100000.00,100000.00,Matthew Bilsland,Competition,"[""Competitive""]",2,2026-07-07,2026-06-30,"[""d3f4eaef45c14cae9f554c5009056391"",""cb191fa691f11085042b929862ea1eb1""]","[""Commercial"",""Competitive"",""Fit"",""Timing"",""Value/Product""]",true,yes,"The transcript clearly shows competitive concerns with Tom Yandel expressing ""reservations about Port due to perceived overlap with their existing Get DX implementation"" and Mark indicating it might be ""too early to the party"" while they focus on their DX deployment. The summary explicitly states Tom ""appeared to have already decided against Port"" due to this overlap with their existing solution.",
234872f4487293b300a6294f049d7237,57487605362,Kaseya,Kaseya,Classic,newbusiness,US Ent,Closed Lost,2026-07-30,2026-03-04,122,40000.00,40000.00,Jeff Graham,Price,"[""Commercial""]",3,2026-06-09,2026-05-27,"[""6178c642a810999ae932394588cbcd57"",""36f783f36d15d3594dabc16b3da98212"",""cab3b5b4ad490ddfafd2be8f0d661f8f""]","[""Commercial"",""Competitive"",""Fit"",""Timing"",""Value/Product""]",true,yes,"The transcript shows clear price-related concerns with Stacy stating the initial proposal was an ""overreach"" due to cost, their CTO will not approve the current high per-license cost, and their SVP expects a higher discount level. The conversation centers entirely on finding ways to reduce pricing through various concessions and adjustments.",
b1f2710399d51b40f0fb45a709343b00,59369926986,Candescent,Candescent,Classic,newbusiness,US MM,Closed Lost,2026-07-30,2026-04-21,80,100000.00,100000.00,Jill Countey,Bad timing,"[""Timing""]",1,2026-05-12,2026-05-12,"[""d1700cf1157b0d2147019152b2ba0bf0""]","[""Commercial"",""Security"",""Value/Product""]",false,likely_no,"The transcript shows active engagement with Itesh expressing interest in a demo, coordinating with his team including VP of Engineering, and concrete next steps being scheduled. While there are concerns about integration complexity and security, these appear to be standard due diligence questions rather than timing-related deferrals. No signals point to budget cycles, fiscal year constraints, or timeline-based delays that would support ""Bad timing"".",security and integration concerns
e427480a5d0c23b9047e72a96404b1e5,59459918009,Egym,EGYM,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-29,2026-04-23,83,50000.00,50000.00,Matthew Bilsland,Internal Build,"[""Competitive""]",3,2026-07-23,2026-07-15,"[""e206e495023006acb913101f121ff9af"",""2c26f7ea7f8a58c2b92c41227e7e9cee"",""dadb61aca1fb9c5727b5034b7301e4a3""]","[""Commercial"",""Value/Product""]",false,no,"The transcript shows EGYM actively planning implementation phases, defining success metrics, and discussing a revised proposal they received positively, with contracting planned for August and work starting in September. Florian's concerns are specifically about ""pricing"" and ""cost-to-value ratio"" rather than preferring an internal build, with the team focused on proving Port's ROI through measurable outcomes.",pricing/budget concerns
410b6fef2c18dfc6aa59cedfa052421f,62045500473,Air Space Intelligence,Air Space Intelligence,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-23,2026-07-02,17,181000.00,181000.00,Sharon Peretz,Competition,"[""Competitive""]",1,2026-07-06,2026-07-06,"[""4934a9011c7f91f712262ed8775da74a""]","[""Commercial"",""Competitive"",""Fit"",""Sponsorship"",""Value/Product""]",true,likely_no,"The transcript shows Air Space Intelligence is actively evaluating Cortex and considering a build-or-buy approach alongside Port, indicating competitive evaluation rather than a definitive competitive loss. While competition exists, the deal appears to have forward momentum with planned executive meetings and POC discussions.",active competitive evaluation with Cortex and build option
bab44a3601f32ece1a71428bd8e6c053,58182338308,Central Bank of Ireland - New Deal,Central Bank of Ireland,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-22,2026-03-19,68,50000.00,50000.00,Matthew Bilsland,Bad timing,"[""Timing""]",3,2026-04-08,2026-03-19,"[""456cba2a9cde3de1dba759a662c53071"",""de9b1407e04774da232111933c5573dd"",""855e83c26f91c8931473a61ca4244f0e""]","[""Commercial"",""Value/Product"",""Timing""]",true,yes,"The transcript shows clear timing-related signals: Tony O'Brien emphasized ""significant internal foundational work required first"" and detailed an ""ongoing internal project to develop a platform engineering team and operating model within CBI, which is a prerequisite for adopting a tool like Port.io."" Gareth Porter noted they need to ""first secure buy-in from senior leaders for the concept of platform engineering itself before discussing specific tooling"" and requested budgetary pricing for their annual budgeting process due in May/June, with follow-up tentatively scheduled for Q3.",
02d2a48a3af9c27cfb7f6a56d59996e4,58447618187,Infineon Technologies (KC) - Backstage Replacement,Infineon Technologies,Classic,newbusiness,EMEA Ent,Closed Lost,2026-07-21,2026-03-26,103,0.00,0.00,John Barnes,Bad timing;Early stage,"[""Timing""]",3,2026-05-13,2026-04-09,"[""0128beba5a48afe61f607ef94fb1e27f"",""4e5cf0d0a8c57597b6f6e9697999039c"",""98f2765eed417754b1f2eb91b12edc67""]","[""Commercial"",""Value/Product""]",false,likely_no,"The transcript shows Infineon already has a mature self-service platform using Backstage, and they're exploring Port primarily for specific capabilities like cataloging and scorecards rather than due to timing or readiness issues. The deal appears to be progressing with POV planning and management engagement, suggesting the loss was more likely competitive since they already run Backstage.",prefers existing Backstage platform
2011e24500bf0ddaee6145e0a59071b7,39011045463,DeLaval,DeLaval,Classic,newbusiness,EMEA Ent,Closed Lost,2026-07-21,2025-06-18,376,162000.00,90000.00,James Pritchard,Not right company/ persona,"[""Fit""]",3,2026-01-28,2025-07-15,"[""08bccfc82dd3fe7de3ddd87478acfd76"",""d880f45a6b297016512881fc2b453639"",""ab432813eb393aa912019bf14a23b664""]","[""Commercial"",""Competitive"",""Fit"",""Sponsorship"",""Value/Product""]",true,yes,"The transcript shows DeLaval is a legitimate enterprise prospect with proper stakeholders (SRE Manager Adam Makowski), decision-makers (CTO and VP-level management), and a structured evaluation process including POC, security assessment, and upcoming management demo. They have real technical needs (replacing difficult-to-manage self-hosted Backstage) and are following a normal enterprise buying process with sourcing and legal steps planned.",
808e04fff510da5ce5a06894fe5364a8,51938205708,Selective Insurance,Selective Insurance,Classic,newbusiness,US MM,Closed Lost,2026-07-15,2025-12-16,205,112000.00,112000.00,John Romano,Competition,"[""Competitive""]",2,2026-07-10,2026-06-24,"[""694e018ba16d02282b41bf05da6c0831"",""744906a74ae39552299a7b0c8ec3e5d1""]","[""Commercial"",""Competitive"",""Security"",""Value/Product""]",true,yes,"The transcript clearly shows Selective Insurance is actively evaluating Backstage versus Port, with Domenic detailing multiple items they've already built in Backstage (services catalog, ownership model, upvote feature, SonarQube integration, appsec dashboard, stack generator) and describing ongoing internal debate about whether to continue with their Backstage implementation or adopt Port's commercial solution.",
2cc0732a74c3e39b2c84ebe684078d24,59418916701,Happening,Happening,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-11,2026-04-22,45,100000.00,100000.00,James Butcher,Bad timing,"[""Timing""]",3,2026-06-11,2026-06-01,"[""a58d704f80e0a9b880d369f7612c58a2"",""10b453cecca6fcc4cc2a2345e49865fd"",""93f7cd52492468fe00318b6dba4396be""]","[""Commercial"",""Value/Product"",""Timing"",""Sponsorship""]",true,yes,"The transcript shows clear signals supporting ""Bad timing"" - Bojan explicitly states that securing VP-level buy-in is ""crucial due to budget controls"" and emphasizes ""the necessity of VP-level sponsorship for any financial commitment."" The deal requires engaging key stakeholders like Luca (VP of Tech) who hasn't been brought into the process yet, and Jonah who has been unavailable due to a cybersecurity incident, indicating timing challenges around getting the right decision-makers aligned.",
ffc03f99a4a9cca9743594ab4fd1a4af,43128788832,Travel Perk,Travel Perk,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-11,2025-08-29,311,150000.00,150000.00,Matthew Bilsland,Champion left/ Company cuts,"[""Sponsorship""]",3,2025-10-15,2025-09-02,"[""52a2519fa038f9c2e826375cf3d6d802"",""5994c2b5842628f7a1573b3e4b1489ed"",""e5854e692d751eef12a5eacc3a07b766""]","[""Commercial"",""Competitive"",""Fit"",""Timing"",""Value/Product""]",false,likely_no,"The transcript shows TravelPerk actively engaged in POC planning and evaluation, with Byron wanting to ""start the POC as soon as possible"" and discussing a competitive evaluation process aimed at a ""January rollout."" While there was an earlier pause due to infrastructure orchestration priorities, the calls show renewed engagement rather than champion departure or company cuts.","timing/prioritization issues, competitive evaluation in progress"
209e08b5e345f57093b1df9cd33d640c,61110097312,Versa Networks,Versa Networks,Classic,newbusiness,US MM,Closed Lost,2026-07-10,2026-06-15,18,50000.00,50000.00,Jill Countey,Bad timing,"[""Timing""]",1,2026-06-23,2026-06-23,"[""d02a5f7a8064f4278b90a2e2f4c977b4""]","[""Commercial"",""Fit"",""Value/Product""]",false,yes,"Ravi mentions they will ""try to set up a free trial instance of Port and integrate some of his tools to see if it works behind their firewall"" and needs to ""ask his teammate for their availability for the next demo,"" indicating they are in early evaluation stages and need to coordinate internally before moving forward.",
7b36fb0bfc7c3f045f1b1cecdfb9d8a5,60487390984,KODE Labs,KODE Labs,Classic,newbusiness,US MM,Closed Lost,2026-07-09,2026-05-21,49,70800.00,70800.00,Daniel Alper,Budget;Bad timing,"[""Timing"",""Commercial""]",3,2026-07-02,2026-06-10,"[""908f999bed41397536a3a1ab1e1ac35e"",""49793864e577edb5328f061c0ecbdb9f"",""5b71b7e9dc3309473988385b4dc87cba""]","[""Commercial"",""Value/Product"",""Timing""]",true,yes,"The transcript shows clear signals supporting both budget and timing concerns. Carl explicitly states that the decision ""hinges on the pricing of JSM"" and mentions difficulty getting executive buy-in from founders who ""need clear, immediate value, often questioning the need for new tools."" Additionally, Carl requests ""more time"" and indicates they're aiming for implementation ""by late July/early August,"" showing timing dependencies on other decisions and budget cycles.",
5f978dc3d5c4e11ca225573e11f53675,40638201857,InPost,InPost,Classic,newbusiness,EMEA Ent,Closed Lost,2026-07-08,2025-07-22,345,300000.00,300000.00,James Pritchard,Champion left/ Company cuts,"[""Sponsorship""]",3,2026-03-04,2026-02-25,"[""299fb79ad84572cb3e988fffc873d450"",""837a47d6121dc0cfb71a8455176b1103"",""61f1553ae32a9641c16e474abef76649""]","[""Commercial"",""Value/Product""]",false,yes,"The transcript shows clear forward momentum with multiple stakeholders engaged, specific technical discussions about metrics and AI integration, concrete next steps planned including a deep dive session with the AI team, and coordination between multiple team members (Marta, Cesare, Tomasz Michalski) to move the evaluation forward - none of which would be happening if the champion had already left or company cuts had been implemented.",
852e0e3b47ebdb5892a564099b11f2e8,57830091286,iProov,iProov,Classic,newbusiness,EMEA MM,Closed Lost,2026-07-08,2026-03-10,99,100000.00,100000.00,Matthew Bilsland,Not right company/ persona,"[""Fit""]",2,2026-03-19,2026-03-10,"[""dc3296ac20190701a7b88dba2f2ef60d"",""5001d38f07f1c1f43f07c58f7f97c527""]","[""Commercial"",""Security"",""Value/Product""]",false,likely_no,"The transcript shows iProov as a legitimate enterprise prospect with clear technical needs around AI governance, security compliance, and DevOps automation. Panos is the Head of Red Team with genuine authority over security concerns, and Joel appears to be another technical stakeholder. They have specific use cases (agentic workflows, GDPR compliance, incident response), budget discussions are planned with the CIO, and next steps include trials and demos with key decision-makers. This appears to be the right company profile and personas for an IDP solution.",wrong company/persona assessment - legitimate enterprise prospect with appropriate technical stakeholders
6152c225369b62f7feb10a8e586be30c,58380750744,Danske bank (KC) - Backstage Replacement & AEP,Danske Bank,Classic,newbusiness,EMEA Ent,Closed Lost,2026-07-07,2026-03-26,83,0.00,0.00,John Barnes,Competition,"[""Competitive""]",2,2026-04-15,2026-04-15,"[""6de9d28cad46f9fc735a19bd6cdb4be0"",""bc812a4a216ecaa7ffbf33d7d92d4776""]","[""Commercial"",""Fit"",""Security"",""Value/Product""]",false,yes,"The transcript clearly shows Danske Bank is ""augmenting/replacing Backstage due to the heavy lift, resource demands, time to value, and maintenance"" issues, which directly corroborates a competitive loss where they are moving away from the Backstage competitor to evaluate Port as an alternative solution.",
d18e9a32ba3af1d2195a3933db2fac87,58162021925,Smartsheet,Smartsheet,Classic,newbusiness,US MM,Closed Lost,2026-06-26,2026-03-19,92,250000.00,250000.00,John Romano,Competition,"[""Competitive""]",3,2026-06-25,2026-05-21,"[""76a42d4d021a804abca0bcc53037ca36"",""98aaa4aebaeffb3efb8edd068c52f1fd"",""c170885df7a15fea9f5db9a69ceaae44""]","[""Commercial"",""Competitive"",""Fit"",""Value/Product""]",true,no,"The transcript clearly shows Smartsheet decided to move forward with Cortex, with Li confirming ""the decision was not primarily about cost"" but rather Cortex's ""lower perceived operational load and more opinionated product design"" making it ""easier to implement and maintain compared to Port's open-slate approach."" This is a clear competitive loss to Cortex, which corroborates the stated ""Competition"" reason.",
8efcb5cc35026afc0262f7cd80160606,58938099570,Finova,Finova,Classic,newbusiness,EMEA MM,Closed Lost,2026-06-24,2026-04-09,55,72000.00,72000.00,James Butcher,Bad timing;Early stage,"[""Timing""]",3,2026-06-12,2026-06-05,"[""103a45f1a89e381f25644068dadac8f9"",""f5059066331b11a75a13f5e72efbc746"",""d12e316c0bfd5d2b8fc6e22bba376fe6""]","[""Commercial"",""Value/Product""]",false,likely_yes,"The transcript shows clear signals supporting both ""Bad timing"" and ""Early stage"" reasons. Pete explicitly stated that ""Finova is not yet at a stage where they require such advanced tooling"" and indicated they are ""likely six months away from needing such a solution,"" with plans to ""reconnect later in the year."" Additionally, Finova engineers expressed concerns about current manual effort and questioned the platform's value given their current maturity level.",
26d8f1f82cd58df8b60e1661385881fc,54321175220,Mobileye Vision Technologies,Mobileye Vision Technologies Ltd.,Classic,newbusiness,EMEA MM,Closed Lost,2026-06-18,2026-01-22,118,400000.00,400000.00,Sharon Peretz,Internal Build,"[""Competitive""]",3,2026-03-16,2026-02-19,"[""a726ba2482223fcdfe3d57ad96bf3579"",""07e5e1bb3263e777ddadde06af08432a"",""7a5381f37417d8b41fb70be7ea6a9b2f""]","[""Commercial"",""Value/Product""]",false,no,"The transcript shows detailed pricing negotiations and POC planning, with Roye requesting proposals and committing to internal reviews. There's no mention of Mobileye having an existing internal build, preferring to build their own solution, or choosing to develop an in-house portal instead of purchasing GetPort's platform.",pricing concerns and contract term flexibility
d943a1bb29b6ab2b17f8c1d685b8c2fb,43323955989,STIME - Les Mousquetaires,Les Mousquetaires,Classic,newbusiness,EMEA Ent,Closed Lost,2026-06-16,2025-09-04,279,200000.00,200000.00,Benjamin Duckworth,Product;Budget,"[""Value/Product"",""Commercial""]",3,2025-11-19,2025-09-16,"[""2bf5a599a99dcb5a24b4995ab2d8ed76"",""2eac00c6c2e01f9aa45b30569c660005"",""554abe2c8eef0342d17a59e8f1816971""]","[""Commercial"",""Value/Product"",""Security"",""Timing""]",true,likely_no,"The prospect expressed concerns about the per-user licensing model potentially hindering adoption beyond developers, and they are evaluating Port against other candidates with POCs planned for early next year, indicating this is more of a competitive evaluation and timing issue rather than fundamental product gaps or budget constraints.",competitive evaluation with deferred timeline
bfed5eb693a6f0cb19b4158af8a9adc8,60383598692,Phoenix Energy,Phoenix Energy,Classic,newbusiness,US MM,Closed Lost,2026-06-11,2026-05-19,9,18000.00,18000.00,EJ Rauseo,Champion left/ Company cuts,"[""Sponsorship""]",2,2026-05-27,2026-05-22,"[""5790e01b57c6a6475679887df98047b6"",""dd16dada040db53bc7f83eac8e0cbe10""]","[""Commercial"",""Security"",""Value/Product""]",false,yes,"The transcript shows clear signals of engagement and forward momentum with Kris expressing interest in exploring the demo environment and free tier, scheduling follow-up meetings, and discussing pricing details, but contains no evidence contradicting the stated reason of ""Champion left/Company cuts"" - these organizational changes typically occur after such positive interactions.",
4c03f4b1b27c794de4c94b5940a49655,61085526439,Booking.com - Backstage Replacement - 6k Users,Booking.com,Classic,newbusiness,EMEA Ent,Closed Lost,2026-06-11,2026-02-24,94,0.00,0.00,John Barnes,Competition,"[""Competitive""]",3,2026-06-09,2026-03-10,"[""4edb01799932a8c4af22024a686272ed"",""f708c7fc5d45d927b0069d6dda25c582"",""e614eb9ded468698987a7ae8ddb44876""]","[""Commercial"",""Value/Product"",""Competitive"",""Fit"",""Timing""]",true,yes,"Bruno confirms that Booking.com has implemented Backstage and challenges Port to decouple its agentic offering from its full engineering portal, stating that ""integrating parts of their solution into existing portals would be more feasible for Booking.com."" This indicates they prefer to keep their existing Backstage implementation rather than migrate to Port's full platform.",
be014d77eb853bebb978090bc33f7f8a,47660359547,Eneco,Eneco,Classic,newbusiness,EMEA MM,Closed Lost,2026-06-11,2025-10-30,217,72000.00,72000.00,James Butcher,Early stage;Bad timing,"[""Timing""]",1,2025-11-06,2025-11-06,"[""eb355cdcb9e74fcf8cdf15a421c8d5a3""]","[""Commercial"",""Value/Product"",""Timing""]",true,yes,"The transcript clearly shows Eneco is in the early stages of their platform journey, with George stating they are ""in the early stages of its platform journey, exploring IDPs"" and ""in the initial phase of its IDP journey."" Additionally, there are timing elements as they are just starting a POC with GetDX and need to consolidate various scattered documentation systems before moving forward.",
